n,m,time(s),sat,median_time(s)
5,0,0.000037836,True,0.000037911
5,1,0.000043362,True,0.000039825
5,1,0.000046484,True,0.000038422
5,1,0.000038545,True,0.000038203
5,1,0.000037158,True,0.000037194
5,1,0.000037508,True,0.000037534
5,1,0.000040385,True,0.000038372
5,1,0.000042939,True,0.000040343
5,1,0.000038601,True,0.000039324
5,1,0.000042398,True,0.000041164
5,1,0.000037642,True,0.000037491
5,1,0.000037270,True,0.000036701
5,1,0.000060810,True,0.000040734
5,1,0.000037710,True,0.000037553
5,1,0.000035812,True,0.000035269
5,1,0.000041819,True,0.000036067
5,1,0.000039316,True,0.000037774
5,1,0.000037558,True,0.000037234
5,1,0.000039580,True,0.000038151
5,1,0.000044079,True,0.000044336
5,1,0.000050599,True,0.000039743
5,2,0.000037752,True,0.000037467
5,2,0.000039596,True,0.000038038
5,2,0.000039703,True,0.000039322
5,2,0.000038023,True,0.000036546
5,2,0.000045130,True,0.000040825
5,2,0.000036159,True,0.000035461
5,2,0.000041051,True,0.000040830
5,2,0.000036903,True,0.000036366
5,2,0.000036629,True,0.000036426
5,2,0.000039384,True,0.000037882
5,2,0.000045416,True,0.000040955
5,2,0.000040124,True,0.000038066
5,2,0.000036555,True,0.000036318
5,2,0.000047161,True,0.000039157
5,2,0.000041548,True,0.000038513
5,2,0.000037284,True,0.000037005
5,2,0.000051446,True,0.000043068
5,2,0.000042247,True,0.000041978
5,2,0.000049060,True,0.000043845
5,2,0.000053369,True,0.000049329
5,2,0.000050261,True,0.000044675
5,2,0.000045861,True,0.000042778
5,2,0.000042333,True,0.000042257
5,2,0.000042378,True,0.000042563
5,2,0.000041155,True,0.000041522
5,2,0.000046815,True,0.000041684
5,2,0.000057909,True,0.000046309
5,2,0.000047991,True,0.000041832
5,2,0.000037770,True,0.000037578
5,2,0.000056637,True,0.000055139
5,2,0.000036701,True,0.000036358
5,2,0.000041196,True,0.000039143
5,2,0.000039931,True,0.000036737
5,2,0.000037864,True,0.000038080
5,2,0.000037279,True,0.000037321
5,2,0.000052779,True,0.000051769
5,2,0.000038257,True,0.000037888
5,2,0.000042524,True,0.000042635
5,2,0.000041119,True,0.000039666
5,2,0.000039902,True,0.000037458
5,2,0.000042263,True,0.000040853
5,2,0.000047444,True,0.000040853
5,2,0.000054477,True,0.000045550
5,2,0.000039108,True,0.000039178
5,2,0.000042846,True,0.000042576
5,2,0.000045960,True,0.000043945
5,2,0.000043956,True,0.000041454
5,2,0.000047800,True,0.000042110
5,2,0.000041189,True,0.000039881
5,2,0.000075482,True,0.000064463
5,2,0.000044543,True,0.000043777
5,2,0.000040328,True,0.000039311
5,2,0.000056367,True,0.000044937
5,2,0.000037626,True,0.000037215
5,2,0.000047055,True,0.000039353
5,2,0.000042537,True,0.000040460
5,2,0.000068648,True,0.000061101
5,2,0.000044911,True,0.000039327
5,2,0.000046147,True,0.000046412
5,2,0.000044659,True,0.000040882
5,2,0.000043149,True,0.000040373
5,2,0.000041238,True,0.000039546
5,2,0.000042884,True,0.000039773
5,2,0.000043549,True,0.000040315
5,2,0.000039470,True,0.000039092
5,2,0.000045297,True,0.000042690
5,2,0.000041027,True,0.000039518
5,2,0.000039607,True,0.000038448
5,2,0.000044228,True,0.000040320
5,2,0.000048740,True,0.000043010
5,2,0.000044016,True,0.000040644
5,2,0.000045583,True,0.000042821
5,2,0.000039701,True,0.000037873
5,2,0.000043198,True,0.000040075
5,2,0.000038074,True,0.000037736
5,2,0.000040414,True,0.000040834
5,2,0.000042803,True,0.000040811
5,2,0.000045228,True,0.000042272
5,2,0.000039122,True,0.000038046
5,2,0.000036996,True,0.000036221
5,2,0.000042478,True,0.000041238
5,2,0.000037865,True,0.000037688
5,2,0.000042473,True,0.000039307
5,2,0.000049063,True,0.000042987
5,2,0.000056689,True,0.000041866
5,2,0.000037368,True,0.000037270
5,2,0.000038204,True,0.000038066
5,2,0.000042058,True,0.000038968
5,2,0.000052936,True,0.000040763
5,2,0.000038169,True,0.000038021
5,2,0.000041705,True,0.000041432
5,2,0.000038131,True,0.000037890
5,2,0.000050228,True,0.000047843
5,2,0.000037385,True,0.000036852
5,2,0.000041481,True,0.000037632
5,2,0.000051425,True,0.000042320
5,2,0.000040186,True,0.000039172
5,2,0.000245497,True,0.000042439
5,2,0.000036479,True,0.000039412
5,2,0.000035937,True,0.000039917
5,2,0.000033456,True,0.000037728
5,2,0.000033292,True,0.000038610
5,2,0.000034506,True,0.000037807
5,2,0.000038085,True,0.000040025
5,2,0.000035004,True,0.000037498
5,2,0.000033886,True,0.000038340
5,2,0.000035953,True,0.000038481
5,2,0.000047087,True,0.000044747
5,2,0.000032833,True,0.000037968
5,2,0.000036055,True,0.000039427
5,2,0.000038906,True,0.000037618
5,2,0.000036104,True,0.000038184
5,2,0.000035125,True,0.000037866
5,2,0.000036427,True,0.000039663
5,2,0.000033257,True,0.000037499
5,2,0.000035752,True,0.000038678
5,2,0.000034467,True,0.000038904
5,2,0.000040473,True,0.000039988
5,2,0.000033917,True,0.000038624
5,2,0.000045669,True,0.000040118
5,2,0.000034282,True,0.000039003
5,2,0.000038912,True,0.000040463
5,2,0.000034824,True,0.000039918
5,2,0.000041324,True,0.000040895
5,2,0.000038186,True,0.000040390
5,2,0.000042650,True,0.000041270
5,2,0.000032649,True,0.000037176
5,2,0.000035628,True,0.000037789
5,2,0.000033458,True,0.000038440
5,2,0.000042192,True,0.000038632
5,2,0.000033198,True,0.000037112
5,2,0.000040742,True,0.000040565
5,2,0.000033871,True,0.000038952
5,2,0.000033341,True,0.000038126
5,2,0.000039013,True,0.000041443
5,2,0.000035440,True,0.000038676
5,2,0.000035183,True,0.000037922
5,2,0.000036846,True,0.000039019
5,2,0.000034533,True,0.000029827
5,2,0.000034442,True,0.000036065
5,2,0.000032819,True,0.000032316
5,2,0.000037660,True,0.000035343
5,2,0.000031300,True,0.000027875
5,2,0.000036823,True,0.000036180
5,2,0.000035046,True,0.000036749
5,2,0.000035362,True,0.000036791
5,2,0.000035554,True,0.000032375
5,2,0.000035522,True,0.000035379
5,2,0.000033099,True,0.000029783
5,2,0.000043804,True,0.000041003
5,2,0.000048913,True,0.000045742
5,2,0.000035633,True,0.000031116
5,2,0.000128995,True,0.000040905
5,2,0.000034113,True,0.000029771
5,2,0.000033777,True,0.000030946
5,2,0.000036355,True,0.000036702
5,2,0.000039661,True,0.000037691
5,2,0.000036174,True,0.000039611
5,2,0.000038693,True,0.000040712
5,2,0.000032182,True,0.000029160
5,2,0.000037828,True,0.000036328
5,2,0.000034767,True,0.000029222
5,2,0.000034741,True,0.000030024
5,2,0.000039772,True,0.000042031
5,2,0.000036488,True,0.000031774
5,2,0.000034125,True,0.000036524
5,2,0.000038993,True,0.000040506
5,2,0.000038606,True,0.000034549
5,2,0.000037382,True,0.000038371
5,2,0.000038921,True,0.000042195
5,2,0.000033714,True,0.000029565
5,2,0.000032719,True,0.000029855
5,2,0.000038106,True,0.000037490
5,2,0.000036530,True,0.000038893
5,2,0.000030781,True,0.000027787
5,2,0.000034453,True,0.000037252
5,2,0.000032067,True,0.000028439
5,2,0.000042957,True,0.000045040
5,2,0.000031548,True,0.000028421
5,2,0.000033414,True,0.000029307
5,3,0.000034913,True,0.000031409
5,3,0.000046583,True,0.000042530
5,3,0.000034464,True,0.000030890
5,3,0.000033989,True,0.000030441
5,3,0.000034300,True,0.000031102
5,3,0.000041022,True,0.000039916
5,3,0.000034557,True,0.000031389
5,3,0.000033943,True,0.000030348
5,3,0.000034677,True,0.000030944
5,3,0.000037116,True,0.000037760
5,3,0.000036937,True,0.000038874
5,3,0.000036531,True,0.000037899
5,3,0.000035097,True,0.000030976
5,3,0.000050408,True,0.000040501
5,3,0.000035927,True,0.000034256
5,3,0.000043274,True,0.000048736
5,3,0.000033805,True,0.000031698
5,3,0.000034573,True,0.000031283
5,3,0.000034043,True,0.000030621
5,3,0.000036700,True,0.000038358
5,3,0.000037180,True,0.000033902
5,3,0.000038548,True,0.000032423
5,3,0.000035936,True,0.000038265
5,3,0.000044548,True,0.000033784
5,3,0.000033570,True,0.000029999
5,3,0.000035159,True,0.000032261
5,3,0.000042468,True,0.000041809
5,3,0.000032833,True,0.000029600
5,3,0.000029769,True,0.000028016
5,3,0.000032295,True,0.000031769
5,3,0.000032038,True,0.000029519
5,3,0.000031060,True,0.000028865
5,3,0.000029221,True,0.000028147
5,3,0.000030397,True,0.000029426
5,3,0.000032846,True,0.000031691
5,3,0.000033664,True,0.000028102
5,3,0.000030525,True,0.000028792
5,3,0.000032024,True,0.000030748
5,3,0.000035422,True,0.000031259
5,3,0.000029613,True,0.000027713
5,3,0.000030439,True,0.000029028
5,3,0.000031904,True,0.000030582
5,3,0.000028497,True,0.000027137
5,3,0.000032634,True,0.000030727
5,3,0.000030131,True,0.000028667
5,3,0.000031524,True,0.000029478
5,3,0.000030951,True,0.000028796
5,3,0.000034460,True,0.000030158
5,3,0.000031700,True,0.000029910
5,3,0.000034903,True,0.000031248
5,3,0.000029307,True,0.000027690
5,3,0.000032298,True,0.000031399
5,3,0.000029375,True,0.000027606
5,3,0.000034667,True,0.000031720
5,3,0.000029152,True,0.000027881
5,3,0.000036574,True,0.000029787
5,3,0.000038388,True,0.000037604
5,3,0.000029670,True,0.000027892
5,3,0.000034248,True,0.000031232
5,3,0.000035481,True,0.000032567
5,3,0.000028997,True,0.000027680
5,3,0.000031099,True,0.000030052
5,3,0.000033526,True,0.000029445
5,3,0.000031213,True,0.000028534
5,3,0.000028983,True,0.000027468
5,3,0.000030483,True,0.000027572
5,3,0.000032758,True,0.000028427
5,3,0.000031585,True,0.000030787
5,3,0.000029229,True,0.000027817
5,3,0.000031136,True,0.000029940
5,3,0.000028225,True,0.000026534
5,3,0.000031728,True,0.000029540
5,3,0.000028681,True,0.000027212
5,3,0.000030612,True,0.000030119
5,3,0.000029121,True,0.000027010
5,3,0.000039739,True,0.000028769
5,3,0.000028613,True,0.000027482
5,3,0.000033223,True,0.000031255
5,3,0.000031804,True,0.000029391
5,3,0.000030075,True,0.000028283
5,3,0.000032858,True,0.000030784
5,3,0.000029993,True,0.000028190
5,3,0.000032616,True,0.000030401
5,3,0.000030136,True,0.000028595
5,3,0.000034212,True,0.000030336
5,3,0.000030040,True,0.000028298
5,3,0.000031740,True,0.000028326
5,3,0.000030453,True,0.000028709
5,3,0.000034370,True,0.000029707
5,3,0.000033254,True,0.000027409
5,3,0.000037687,True,0.000034882
5,3,0.000030421,True,0.000028229
5,3,0.000031361,True,0.000030004
5,3,0.000029742,True,0.000027727
5,3,0.000037155,True,0.000034017
5,3,0.000030832,True,0.000028711
5,3,0.000031464,True,0.000030087
5,3,0.000030790,True,0.000028048
5,3,0.000032442,True,0.000030824
5,3,0.000032193,True,0.000028450
5,3,0.000030154,True,0.000028417
5,3,0.000032798,True,0.000031066
5,3,0.000030471,True,0.000027530
5,3,0.000031279,True,0.000029101
5,3,0.000035271,True,0.000028239
5,3,0.000033739,True,0.000031073
5,3,0.000029027,True,0.000028083
5,3,0.000030148,True,0.000028693
5,3,0.000033502,True,0.000031496
5,3,0.000030166,True,0.000028118
5,3,0.000029657,True,0.000027850
5,3,0.000030482,True,0.000027797
5,3,0.000029495,True,0.000028209
5,3,0.000029302,True,0.000028078
5,3,0.000032994,True,0.000030980
5,3,0.000031824,True,0.000030287
5,3,0.000030135,True,0.000028652
5,3,0.000031970,True,0.000029939
5,3,0.000032005,True,0.000028599
5,3,0.000029909,True,0.000028067
5,3,0.000031799,True,0.000029502
5,3,0.000039383,True,0.000038902
5,3,0.000029477,True,0.000027571
5,3,0.000029131,True,0.000027223
5,3,0.000029775,True,0.000027455
5,3,0.000035827,True,0.000038236
5,3,0.000031179,True,0.000028278
5,3,0.000028281,True,0.000025860
5,3,0.000030036,True,0.000028651
5,3,0.000032958,True,0.000030768
5,3,0.000029206,True,0.000027482
5,3,0.000030171,True,0.000026992
5,3,0.000032690,True,0.000029749
5,3,0.000029842,True,0.000028024
5,3,0.000029198,True,0.000027606
5,3,0.000029158,True,0.000027647
5,3,0.000034745,True,0.000029499
5,3,0.000031253,True,0.000028160
5,3,0.000028948,True,0.000027287
5,3,0.000031996,True,0.000031075
5,3,0.000029617,True,0.000027976
5,3,0.000037591,True,0.000035211
5,3,0.000030223,True,0.000028528
5,3,0.000031056,True,0.000028871
5,3,0.000041831,True,0.000036888
5,3,0.000029554,True,0.000027844
5,3,0.000030395,True,0.000028953
5,3,0.000031476,True,0.000029041
5,3,0.000033365,True,0.000031415
5,3,0.000030177,True,0.000028306
5,3,0.000031833,True,0.000029638
5,3,0.000029957,True,0.000028228
5,3,0.000036587,True,0.000032948
5,3,0.000029277,True,0.000027707
5,3,0.000032262,True,0.000031471
5,3,0.000031510,True,0.000028848
5,3,0.000031346,True,0.000028575
5,3,0.000037875,True,0.000032090
5,3,0.000031423,True,0.000029604
5,3,0.000037437,True,0.000038564
5,3,0.000029662,True,0.000028119
5,3,0.000036276,True,0.000037534
5,3,0.000029947,True,0.000028478
5,3,0.000036427,True,0.000030829
5,3,0.000030796,True,0.000028535
5,3,0.000032484,True,0.000030757
5,3,0.000031585,True,0.000029301
5,3,0.000040404,True,0.000031904
5,3,0.000033022,True,0.000029481
5,3,0.000034459,True,0.000029447
5,3,0.000029475,True,0.000027655
5,3,0.000033588,True,0.000031082
5,3,0.000031688,True,0.000029409
5,3,0.000034460,True,0.000030194
5,3,0.000029894,True,0.000028240
5,3,0.000030160,True,0.000028328
5,3,0.000031384,True,0.000029808
5,3,0.000031383,True,0.000028969
5,3,0.000029131,True,0.000027641
5,3,0.000030172,True,0.000028170
5,3,0.000028984,True,0.000027255
5,3,0.000042332,True,0.000036033
5,3,0.000028498,True,0.000026654
5,3,0.000031572,True,0.000030273
5,3,0.000029142,True,0.000027366
5,3,0.000036285,True,0.000032480
5,3,0.000028422,True,0.000026568
