n, m, time(s)
4, 0, 0.000139271
4, 1, 0.000090872
4, 1, 0.000071212
4, 1, 0.000071606
4, 1, 0.000065697
4, 1, 0.000063592
4, 1, 0.000064406
4, 1, 0.000065027
4, 1, 0.000063516
4, 1, 0.000062246
4, 1, 0.000062868
4, 1, 0.000061851
4, 1, 0.000061452
4, 2, 0.000063945
4, 2, 0.000063749
4, 2, 0.000063693
4, 2, 0.000064363
4, 2, 0.000076847
4, 2, 0.000082987
4, 2, 0.000078652
4, 2, 0.000066709
4, 2, 0.000064594
4, 2, 0.000104601
4, 2, 0.000070999
4, 2, 0.000076221
4, 2, 0.000084835
4, 2, 0.000088035
4, 2, 0.000104149
4, 2, 0.000072646
4, 2, 0.000072982
4, 2, 0.000075078
4, 2, 0.000066193
4, 2, 0.000064750
4, 2, 0.000072953
4, 2, 0.000066604
4, 2, 0.000068848
4, 2, 0.000073295
4, 2, 0.000066174
4, 2, 0.000063853
4, 2, 0.000062698
4, 2, 0.000063815
4, 2, 0.000062719
4, 2, 0.000066533
4, 2, 0.000063318
4, 2, 0.000071059
4, 2, 0.000064313
4, 2, 0.000062448
4, 2, 0.000070842
4, 2, 0.000063097
4, 2, 0.000065624
4, 2, 0.000061518
4, 2, 0.000090048
4, 2, 0.000068364
4, 2, 0.000099065
4, 2, 0.000093736
4, 2, 0.000072773
4, 2, 0.000084494
4, 2, 0.000077020
4, 2, 0.000066797
4, 2, 0.000077968
4, 2, 0.000114044
4, 2, 0.000114768
4, 2, 0.000083423
4, 2, 0.000113666
4, 2, 0.000074790
4, 2, 0.000089710
4, 2, 0.000069963
4, 2, 0.000064194
4, 2, 0.000063856
4, 2, 0.000063275
4, 2, 0.000068229
4, 2, 0.000064674
4, 2, 0.000067863
4, 3, 0.000063393
4, 3, 0.000063198
4, 3, 0.000072271
4, 3, 0.000064869
4, 3, 0.000071614
4, 3, 0.000064022
4, 3, 0.000076533
4, 3, 0.000072116
4, 3, 0.000072033
4, 3, 0.000063694
4, 3, 0.000062568
4, 3, 0.000071235
4, 3, 0.000076502
4, 3, 0.000064322
4, 3, 0.000072300
4, 3, 0.000063232
4, 3, 0.000069769
4, 3, 0.000069785
4, 3, 0.000063862
4, 3, 0.000072016
4, 3, 0.000072958
4, 3, 0.000062550
4, 3, 0.000070190
4, 3, 0.000068205
4, 3, 0.000063210
4, 3, 0.000070495
4, 3, 0.000061736
4, 3, 0.000075786
4, 3, 0.000086633
4, 3, 0.000084806
4, 3, 0.000076159
4, 3, 0.000064695
4, 3, 0.000072007
4, 3, 0.000069018
4, 3, 0.000068841
4, 3, 0.000062783
4, 3, 0.000108499
4, 3, 0.000076290
4, 3, 0.000064361
4, 3, 0.000071866
4, 3, 0.000070873
4, 3, 0.000070029
4, 3, 0.000062376
4, 3, 0.000068938
4, 3, 0.000065420
4, 3, 0.000103225
4, 3, 0.000076365
4, 3, 0.000088171
4, 3, 0.000076990
4, 3, 0.000070993
4, 3, 0.000071355
4, 3, 0.000070600
4, 3, 0.000064801
4, 3, 0.000092615
4, 3, 0.000076274
4, 3, 0.000067429
4, 3, 0.000070783
4, 3, 0.000081417
4, 3, 0.000070153
4, 3, 0.000070282
