n,m,time(s)
5, 0, 0.000164587
5, 1, 0.000104800
5, 1, 0.000096788
5, 1, 0.000096081
5, 1, 0.000098042
5, 1, 0.000096229
5, 1, 0.000096679
5, 1, 0.000095461
5, 1, 0.000096135
5, 1, 0.000099057
5, 1, 0.000099426
5, 1, 0.000102639
5, 1, 0.000098473
5, 1, 0.000098796
5, 1, 0.000098360
5, 1, 0.000100969
5, 1, 0.000098085
5, 1, 0.000100042
5, 1, 0.000130121
5, 1, 0.000111013
5, 1, 0.000102716
5, 2, 0.000121644
5, 2, 0.000111323
5, 2, 0.000142748
5, 2, 0.000169193
5, 2, 0.000121641
5, 2, 0.000120648
5, 2, 0.000109936
5, 2, 0.000121121
5, 2, 0.000121566
5, 2, 0.000111191
5, 2, 0.000226638
5, 2, 0.000116595
5, 2, 0.000139823
5, 2, 0.000129051
5, 2, 0.000113536
5, 2, 0.000108021
5, 2, 0.000113911
5, 2, 0.000112914
5, 2, 0.000106813
5, 2, 0.000119740
5, 2, 0.000103925
5, 2, 0.000102348
5, 2, 0.000110115
5, 2, 0.000106721
5, 2, 0.000103017
5, 2, 0.000101934
5, 2, 0.000106942
5, 2, 0.000108793
5, 2, 0.000146794
5, 2, 0.000116278
5, 2, 0.000111623
5, 2, 0.000106097
5, 2, 0.000110424
5, 2, 0.000105784
5, 2, 0.000109394
5, 2, 0.000104003
5, 2, 0.000110273
5, 2, 0.000130242
5, 2, 0.000121417
5, 2, 0.000114174
5, 2, 0.000119057
5, 2, 0.000164774
5, 2, 0.000118466
5, 2, 0.000112727
5, 2, 0.000128586
5, 2, 0.000114665
5, 2, 0.000112059
5, 2, 0.000109050
5, 2, 0.000121170
5, 2, 0.000126528
5, 2, 0.000101875
5, 2, 0.000101585
5, 2, 0.000106891
5, 2, 0.000106524
5, 2, 0.000107303
5, 2, 0.000103385
5, 2, 0.000107717
5, 2, 0.000106894
5, 2, 0.000101840
5, 2, 0.000169894
5, 2, 0.000113765
5, 2, 0.000109049
5, 2, 0.000103647
5, 2, 0.000105240
5, 2, 0.000118910
5, 2, 0.000108267
5, 2, 0.000104768
5, 2, 0.000112347
5, 2, 0.000102556
5, 2, 0.000120504
5, 2, 0.000105923
5, 2, 0.000116149
5, 2, 0.000106663
5, 2, 0.000100660
5, 2, 0.000101093
5, 2, 0.000103799
5, 2, 0.000103827
5, 2, 0.000142630
5, 2, 0.000110405
5, 2, 0.000109573
5, 2, 0.000106751
5, 2, 0.000110082
5, 2, 0.000106062
5, 2, 0.000106071
5, 2, 0.000105613
5, 2, 0.000195482
5, 2, 0.000194724
5, 2, 0.000125231
5, 2, 0.000118588
5, 2, 0.000118045
5, 2, 0.000113052
5, 2, 0.000105177
5, 2, 0.000104543
5, 2, 0.000177424
5, 2, 0.000112899
5, 2, 0.000111138
5, 2, 0.000105912
5, 2, 0.000105405
5, 2, 0.000115481
5, 2, 0.000105659
5, 2, 0.000149562
5, 2, 0.000126928
5, 2, 0.000124176
5, 2, 0.000112543
5, 2, 0.000114811
5, 2, 0.000127585
5, 2, 0.000119333
5, 2, 0.000108539
5, 2, 0.000111791
5, 2, 0.000111430
5, 2, 0.000114804
5, 2, 0.000110144
5, 2, 0.000113577
5, 2, 0.000106427
5, 2, 0.000108989
5, 2, 0.000108954
5, 2, 0.000109721
5, 2, 0.000221747
5, 2, 0.000127256
5, 2, 0.000112711
5, 2, 0.000117341
5, 2, 0.000121979
5, 2, 0.000112321
5, 2, 0.000117021
5, 2, 0.000126104
5, 2, 0.000119161
5, 2, 0.000111866
5, 2, 0.000119969
5, 2, 0.000127990
5, 2, 0.000110262
5, 2, 0.000112475
5, 2, 0.000106420
5, 2, 0.000105346
5, 2, 0.000109920
5, 2, 0.000110204
5, 2, 0.000104127
5, 2, 0.000103914
5, 2, 0.000108833
5, 2, 0.000104217
5, 2, 0.000129694
5, 2, 0.000118275
5, 2, 0.000104557
5, 2, 0.000111144
5, 2, 0.000119038
5, 2, 0.000103824
5, 2, 0.000102608
5, 2, 0.000108661
5, 2, 0.000135031
5, 2, 0.000115741
5, 2, 0.000129504
5, 2, 0.000204448
5, 2, 0.000136729
5, 2, 0.000123678
5, 2, 0.000110379
5, 2, 0.000108075
5, 2, 0.000107378
5, 2, 0.000105964
5, 2, 0.000112847
5, 2, 0.000110138
5, 2, 0.000104990
5, 2, 0.000105214
5, 2, 0.000103792
5, 2, 0.000109940
5, 2, 0.000103679
5, 2, 0.000109346
5, 2, 0.000123762
5, 2, 0.000106290
5, 2, 0.000113404
5, 2, 0.000115762
5, 2, 0.000136656
5, 2, 0.000125279
5, 2, 0.000114018
5, 2, 0.000111217
5, 2, 0.000130833
5, 2, 0.000134588
5, 2, 0.000170233
5, 2, 0.000120566
5, 2, 0.000119659
5, 2, 0.000113374
5, 2, 0.000115091
5, 3, 0.000113453
5, 3, 0.000114601
5, 3, 0.000114320
5, 3, 0.000129082
5, 3, 0.000118044
5, 3, 0.000110461
5, 3, 0.000115673
5, 3, 0.000119070
5, 3, 0.000114732
5, 3, 0.000124330
5, 3, 0.000126007
5, 3, 0.000123905
5, 3, 0.000113915
5, 3, 0.000137842
5, 3, 0.000183781
5, 3, 0.000125273
5, 3, 0.000130786
5, 3, 0.000115654
5, 3, 0.000110759
5, 3, 0.000114482
5, 3, 0.000115573
5, 3, 0.000137235
5, 3, 0.000123320
5, 3, 0.000123063
5, 3, 0.000114934
5, 3, 0.000283444
5, 3, 0.000122259
5, 3, 0.000118217
5, 3, 0.000120392
5, 3, 0.000122529
5, 3, 0.000117312
5, 3, 0.000136838
5, 3, 0.000112323
5, 3, 0.000106977
5, 3, 0.000107290
5, 3, 0.000112924
5, 3, 0.000117073
5, 3, 0.000113435
5, 3, 0.000110361
5, 3, 0.000120322
5, 3, 0.000120270
5, 3, 0.000239960
5, 3, 0.000126532
5, 3, 0.000126433
5, 3, 0.000115283
5, 3, 0.000115740
5, 3, 0.000126123
5, 3, 0.000121253
5, 3, 0.000118546
5, 3, 0.000116287
5, 3, 0.000108936
5, 3, 0.000120045
