n,m,time(s),sat
5,0,0.000451349,True
5,1,0.000323258,True
5,1,0.001972136,True
5,1,0.000409756,True
5,1,0.000480738,True
5,1,0.000419285,True
5,1,0.000328154,True
5,1,0.000313197,True
5,1,0.003166006,True
5,1,0.000277922,True
5,1,0.000304894,True
5,1,0.000271171,True
5,1,0.000272941,True
5,1,0.000267043,True
5,1,0.000321137,True
5,1,0.000240596,True
5,1,0.000242520,True
5,1,0.000250542,True
5,1,0.000253263,True
5,1,0.000294873,True
5,1,0.000399453,True
5,2,0.000298404,True
5,2,0.000249086,True
5,2,0.000245598,True
5,2,0.000245421,True
5,2,0.000244377,True
5,2,0.000521808,True
5,2,0.000263718,True
5,2,0.000253424,True
5,2,0.000259466,True
5,2,0.000269768,True
5,2,0.000278247,True
5,2,0.000239126,True
5,2,0.000252038,True
5,2,0.000261664,True
5,2,0.000270391,True
5,2,0.000269109,True
5,2,0.000309922,True
5,2,0.000272012,True
5,2,0.000254020,True
5,2,0.000265830,True
5,2,0.000270744,True
5,2,0.000246000,True
5,2,0.000254246,True
5,2,0.000247020,True
5,2,0.000535657,True
5,2,0.000271844,True
5,2,0.000315675,True
5,2,0.000244517,True
5,2,0.000258464,True
5,2,0.000323774,True
5,2,0.000268505,True
5,2,0.000276173,True
5,2,0.000254703,True
5,2,0.000248201,True
5,2,0.000245689,True
5,2,0.000245654,True
5,2,0.000375761,True
5,2,0.000269719,True
5,2,0.000264240,True
5,2,0.000263536,True
5,2,0.000247915,True
5,2,0.000277522,True
5,2,0.000250137,True
5,2,0.000260591,True
5,2,0.000234238,True
5,2,0.000258747,True
5,2,0.000233971,True
5,2,0.000244540,True
5,2,0.000347562,True
5,2,0.000290770,True
5,2,0.000275599,True
5,2,0.000256042,True
5,2,0.000290797,True
5,2,0.000265697,True
5,2,0.000255764,True
5,2,0.000268625,True
5,2,0.000280336,True
5,2,0.000268361,True
5,2,0.000262423,True
5,2,0.000245450,True
5,2,0.000256237,True
5,2,0.000242579,True
5,2,0.000256491,True
5,2,0.000333497,True
5,2,0.000379635,True
5,2,0.000250904,True
5,2,0.000260348,True
5,2,0.000251280,True
5,2,0.000260779,True
5,2,0.000266870,True
5,2,0.000263681,True
5,2,0.000277074,True
5,2,0.000272456,True
5,2,0.000275243,True
5,2,0.000276055,True
5,2,0.000283292,True
5,2,0.000307201,True
5,2,0.000251652,True
5,2,0.000393809,True
5,2,0.000316418,True
5,2,0.000256404,True
5,2,0.000281061,True
5,2,0.000255567,True
5,2,0.000253187,True
5,2,0.000274240,True
5,2,0.000264846,True
5,2,0.000267368,True
5,2,0.000251605,True
5,2,0.000255103,True
5,2,0.000262625,True
5,2,0.000268287,True
5,2,0.000248667,True
5,2,0.000241407,True
5,2,0.001668650,True
5,2,0.000233566,True
5,2,0.000565682,True
5,2,0.000278597,True
5,2,0.000266381,True
