n,m,time(s),sat
5,0,0.000022641,True
5,1,0.000020702,True
5,1,0.000022229,True
5,1,0.000016953,True
5,1,0.000017391,True
5,1,0.000020418,True
5,1,0.000015463,True
5,1,0.000017419,True
5,1,0.000015950,True
5,1,0.000018351,True
5,1,0.000020250,True
5,1,0.000023219,True
5,1,0.000016482,True
5,1,0.000333354,True
5,1,0.000016865,True
5,1,0.000090825,True
5,1,0.000015712,True
5,1,0.000016756,True
5,1,0.000015330,True
5,1,0.000017867,True
5,1,0.000014783,True
5,2,0.000017926,True
5,2,0.000022387,True
5,2,0.000017803,True
5,2,0.000021386,True
5,2,0.000017394,True
5,2,0.000017197,True
5,2,0.000016892,True
5,2,0.000016921,True
5,2,0.000018259,True
5,2,0.000020104,True
5,2,0.000021303,True
5,2,0.000016723,True
5,2,0.000017825,True
5,2,0.000022113,True
5,2,0.000019176,True
5,2,0.000017750,True
5,2,0.000017542,True
5,2,0.000019526,True
5,2,0.000023113,True
5,2,0.000019499,True
5,2,0.000043540,True
5,2,0.000010131,True
5,2,0.000010255,True
5,2,0.000011218,True
5,2,0.000011541,True
5,2,0.000010266,True
5,2,0.000010718,True
5,2,0.000010557,True
5,2,0.000009969,True
5,2,0.000009427,True
5,2,0.000011809,True
5,2,0.000010552,True
5,2,0.000012488,True
5,2,0.000009711,True
5,2,0.000011390,True
5,2,0.000013196,True
5,2,0.000010308,True
5,2,0.000012236,True
5,2,0.000010254,True
5,2,0.000010969,True
5,2,0.000010143,True
5,2,0.000013043,True
5,2,0.000010321,True
5,2,0.000013563,True
5,2,0.000011397,True
5,2,0.000010516,True
5,2,0.000017087,True
5,2,0.000009765,True
5,2,0.000011473,True
5,2,0.000011662,True
5,2,0.000011469,True
5,2,0.000012363,True
5,2,0.000013709,True
5,2,0.000012705,True
5,2,0.000012663,True
5,2,0.000013920,True
5,2,0.000010945,True
5,2,0.000011383,True
5,2,0.000012956,True
5,2,0.000018352,True
5,2,0.000013624,True
5,2,0.000014055,True
5,2,0.000016948,True
5,2,0.000014695,True
5,2,0.000014020,True
5,2,0.000020985,True
5,2,0.000017597,True
5,2,0.000014224,True
5,2,0.000019455,True
5,2,0.000015935,True
5,2,0.000013110,True
5,2,0.000013486,True
5,2,0.000024793,True
5,2,0.000014536,True
5,2,0.000013812,True
5,2,0.000018332,True
