n,m,time(s),sat,median_time(s)
5,0,0.000035754,True,0.000027520
5,1,0.000019164,True,0.000017154
5,1,0.000033086,True,0.000026188
5,1,0.000019636,True,0.000018078
5,1,0.000020369,True,0.000018140
5,1,0.000021884,True,0.000021600
5,1,0.000022395,True,0.000022317
5,1,0.000020992,True,0.000021358
5,1,0.000018452,True,0.000017734
5,1,0.000019058,True,0.000018439
5,1,0.000020107,True,0.000018518
5,1,0.000020754,True,0.000018378
5,1,0.000022738,True,0.000022093
5,1,0.000022352,True,0.000021868
5,1,0.000022319,True,0.000021989
5,1,0.000020887,True,0.000018930
5,1,0.000019288,True,0.000018099
5,1,0.000019165,True,0.000017836
5,1,0.000019881,True,0.000017692
5,1,0.000018720,True,0.000017619
5,1,0.000019686,True,0.000018305
5,2,0.000018338,True,0.000017560
5,2,0.000018470,True,0.000017598
5,2,0.000018528,True,0.000017638
5,2,0.000018057,True,0.000017276
5,2,0.000017910,True,0.000017052
5,2,0.000017619,True,0.000016774
5,2,0.000018929,True,0.000017793
5,2,0.000022276,True,0.000021287
5,2,0.000019040,True,0.000017846
5,2,0.000018418,True,0.000017656
5,2,0.000021185,True,0.000018616
5,2,0.000024333,True,0.000019557
5,2,0.000025121,True,0.000024062
5,2,0.000021556,True,0.000020520
5,2,0.000019279,True,0.000018161
5,2,0.000018251,True,0.000017126
5,2,0.000030729,True,0.000021193
5,2,0.000019183,True,0.000017841
5,2,0.000018579,True,0.000017805
5,2,0.000018862,True,0.000017626
5,2,0.000018645,True,0.000017560
5,2,0.000023158,True,0.000022392
5,2,0.000019633,True,0.000018279
5,2,0.000018455,True,0.000017904
5,2,0.000019569,True,0.000018246
5,2,0.000019567,True,0.000018033
5,2,0.000019596,True,0.000017245
5,2,0.000022538,True,0.000017930
5,2,0.000019525,True,0.000018335
5,2,0.000019282,True,0.000018105
5,2,0.000019150,True,0.000018074
5,2,0.000018223,True,0.000017561
5,2,0.000021348,True,0.000018115
5,2,0.000018054,True,0.000017099
5,2,0.000032362,True,0.000022628
5,2,0.000024443,True,0.000019013
5,2,0.000022346,True,0.000018979
5,2,0.000020635,True,0.000019079
5,2,0.000023893,True,0.000022009
5,2,0.000023370,True,0.000021842
5,2,0.000021518,True,0.000021625
5,2,0.000022287,True,0.000021853
5,2,0.000019058,True,0.000018013
5,2,0.000018948,True,0.000017962
5,2,0.000019463,True,0.000017930
5,2,0.000021415,True,0.000021376
5,2,0.000026447,True,0.000018286
5,2,0.000020039,True,0.000018800
5,2,0.000022372,True,0.000021672
5,2,0.000020488,True,0.000018833
5,2,0.000020089,True,0.000017695
5,2,0.000023932,True,0.000019348
5,2,0.000022312,True,0.000022163
5,2,0.000018770,True,0.000017776
5,2,0.000018088,True,0.000017066
5,2,0.000019820,True,0.000018185
5,2,0.000020126,True,0.000019162
5,2,0.000018686,True,0.000017778
5,2,0.000018163,True,0.000017155
5,2,0.000018972,True,0.000017592
5,2,0.000018697,True,0.000017711
5,2,0.000018690,True,0.000017762
5,2,0.000018240,True,0.000017129
5,2,0.000019573,True,0.000017138
5,2,0.000018554,True,0.000016981
5,2,0.000018911,True,0.000017536
5,2,0.000019053,True,0.000017500
5,2,0.000018022,True,0.000017012
5,2,0.000017798,True,0.000016876
5,2,0.000025300,True,0.000019398
5,2,0.000027856,True,0.000021894
5,2,0.000020756,True,0.000018492
5,2,0.000027856,True,0.000023659
5,2,0.000021968,True,0.000021471
5,2,0.000018268,True,0.000017098
5,2,0.000023720,True,0.000021653
5,2,0.000026857,True,0.000021376
5,2,0.000023175,True,0.000021739
5,2,0.000024854,True,0.000020752
5,2,0.000020895,True,0.000020734
5,2,0.000018861,True,0.000017524
5,2,0.000021861,True,0.000018406
5,2,0.000027307,True,0.000021345
5,2,0.000023058,True,0.000022271
5,2,0.000022263,True,0.000021557
5,2,0.000020667,True,0.000020337
5,2,0.000022007,True,0.000021771
5,2,0.000021347,True,0.000021017
5,2,0.000020971,True,0.000020946
5,2,0.000019126,True,0.000018181
5,2,0.000021415,True,0.000021197
5,2,0.000024478,True,0.000021441
5,2,0.000019015,True,0.000017571
5,2,0.000019718,True,0.000018348
5,2,0.000020777,True,0.000019514
5,2,0.000019755,True,0.000018513
5,2,0.000018057,True,0.000017739
