n,m,time(s),sat,median_time(s)
5,0,0.000039869,True,0.000038794
5,1,0.000048129,True,0.000041077
5,1,0.000040368,True,0.000039493
5,1,0.000053285,True,0.000051000
5,1,0.000039832,True,0.000038970
5,1,0.000042725,True,0.000042472
5,1,0.000243556,True,0.000048872
5,1,0.000044646,True,0.000044149
5,1,0.000042154,True,0.000041135
5,1,0.000050960,True,0.000045890
5,1,0.000045751,True,0.000043429
5,1,0.000053012,True,0.000046227
5,1,0.000043700,True,0.000042969
5,1,0.000038370,True,0.000038203
5,1,0.000042117,True,0.000040007
5,1,0.000054339,True,0.000042486
5,1,0.000038508,True,0.000038165
5,1,0.000039215,True,0.000038291
5,1,0.000039562,True,0.000037643
5,1,0.000039063,True,0.000037768
5,1,0.000042376,True,0.000041206
5,2,0.000045918,True,0.000036504
5,2,0.000039393,True,0.000038388
5,2,0.000036957,True,0.000036648
5,2,0.000038797,True,0.000037012
5,2,0.000035249,True,0.000035111
5,2,0.000036244,True,0.000034337
5,2,0.000039707,True,0.000038112
5,2,0.000041049,True,0.000038631
5,2,0.000041735,True,0.000038259
5,2,0.000037552,True,0.000036954
5,2,0.000043001,True,0.000041746
5,2,0.000035777,True,0.000035497
5,2,0.000036076,True,0.000035447
5,2,0.000056623,True,0.000045229
5,2,0.000041005,True,0.000039589
5,2,0.000034721,True,0.000034231
5,2,0.000040230,True,0.000039837
5,2,0.000040193,True,0.000038425
5,2,0.000035233,True,0.000035462
5,2,0.000041264,True,0.000037933
5,2,0.000037781,True,0.000036528
5,2,0.000037929,True,0.000036612
5,2,0.000038650,True,0.000038350
5,2,0.000043037,True,0.000037483
5,2,0.000042575,True,0.000039611
5,2,0.000035644,True,0.000035210
5,2,0.000037080,True,0.000035992
5,2,0.000042901,True,0.000037070
5,2,0.000039400,True,0.000038173
5,2,0.000039293,True,0.000039101
5,2,0.000045578,True,0.000036832
5,2,0.000039642,True,0.000037949
5,2,0.000036904,True,0.000036679
5,2,0.000039747,True,0.000038046
5,2,0.000042173,True,0.000039547
5,2,0.000041825,True,0.000038700
5,2,0.000036200,True,0.000036090
5,2,0.000041635,True,0.000041486
5,2,0.000040294,True,0.000037651
5,2,0.000037161,True,0.000036952
5,2,0.000036916,True,0.000036505
5,2,0.000040898,True,0.000039397
5,2,0.000043868,True,0.000040598
5,2,0.000042277,True,0.000042772
5,2,0.000036873,True,0.000036699
5,2,0.000035933,True,0.000035857
5,2,0.000035895,True,0.000035702
5,2,0.000041008,True,0.000038119
5,2,0.000036685,True,0.000036578
5,2,0.000040940,True,0.000038994
5,2,0.000039922,True,0.000037164
5,2,0.000035697,True,0.000035592
5,2,0.000048202,True,0.000039372
5,2,0.000040578,True,0.000038101
5,2,0.000035000,True,0.000034504
5,2,0.000039143,True,0.000036416
5,2,0.000044838,True,0.000038375
