n,m,time(s),sat,median_time(s)
5,0,0.000041449,True,0.000040198
5,1,0.000041724,True,0.000039541
5,1,0.000039964,True,0.000039064
5,1,0.000080808,True,0.000040693
5,1,0.000041987,True,0.000041146
5,1,0.000043758,True,0.000041979
5,1,0.000041455,True,0.000038394
5,1,0.000036965,True,0.000036202
5,1,0.000039211,True,0.000037875
5,1,0.000050594,True,0.000039531
5,1,0.000039583,True,0.000038789
5,1,0.000041203,True,0.000040466
5,1,0.000043841,True,0.000042440
5,1,0.000039587,True,0.000038818
5,1,0.000044415,True,0.000042537
5,1,0.000039309,True,0.000039446
5,1,0.000044342,True,0.000038421
5,1,0.000049751,True,0.000049418
5,1,0.000039171,True,0.000038632
5,1,0.000038959,True,0.000038467
5,1,0.000052518,True,0.000052234
5,2,0.000039229,True,0.000038435
5,2,0.000042972,True,0.000040826
5,2,0.000038360,True,0.000037914
5,2,0.000037121,True,0.000036862
5,2,0.000044388,True,0.000039937
5,2,0.000039005,True,0.000038268
5,2,0.000039000,True,0.000037444
5,2,0.000040562,True,0.000039587
5,2,0.000042030,True,0.000037773
5,2,0.000037565,True,0.000037153
5,2,0.000038349,True,0.000038223
5,2,0.000040283,True,0.000037737
5,2,0.000040297,True,0.000038580
5,2,0.000037701,True,0.000036963
5,2,0.000048045,True,0.000044778
5,2,0.000036615,True,0.000036246
5,2,0.000041649,True,0.000040379
5,2,0.000036764,True,0.000036717
5,2,0.000045149,True,0.000040684
5,2,0.000038923,True,0.000038766
5,2,0.000041773,True,0.000039047
5,2,0.000039644,True,0.000038965
5,2,0.000045598,True,0.000040320
5,2,0.000038148,True,0.000038182
5,2,0.000041639,True,0.000041634
5,2,0.000055737,True,0.000050291
5,2,0.000040887,True,0.000041255
5,2,0.000050554,True,0.000044788
5,2,0.000038451,True,0.000038073
5,2,0.000041037,True,0.000038912
5,2,0.000044426,True,0.000038868
5,2,0.000038485,True,0.000037826
5,2,0.000039262,True,0.000038257
5,2,0.000044197,True,0.000041038
5,2,0.000038329,True,0.000037490
5,2,0.000042465,True,0.000040315
5,2,0.000042095,True,0.000039585
5,2,0.000038312,True,0.000037650
5,2,0.000039930,True,0.000038793
5,2,0.000038072,True,0.000037077
5,2,0.000042699,True,0.000039615
5,2,0.000039796,True,0.000038973
5,2,0.000038924,True,0.000038617
5,2,0.000038389,True,0.000037499
5,2,0.000043064,True,0.000040326
5,2,0.000043189,True,0.000042746
5,2,0.000045175,True,0.000041481
5,2,0.000038485,True,0.000038439
5,2,0.000046053,True,0.000042031
5,2,0.000037888,True,0.000036876
5,2,0.000041187,True,0.000038395
5,2,0.000038426,True,0.000038900
5,2,0.000048422,True,0.000050967
5,2,0.000039908,True,0.000038023
5,2,0.000041023,True,0.000040822
5,2,0.000039049,True,0.000038979
5,2,0.000043208,True,0.000042038
5,2,0.000040246,True,0.000040151
5,2,0.000044403,True,0.000039051
5,2,0.000043540,True,0.000042359
5,2,0.000036567,True,0.000036748
5,2,0.000038068,True,0.000037662
5,2,0.000038019,True,0.000037775
5,2,0.000048746,True,0.000049693
5,2,0.000037762,True,0.000037512
5,2,0.000042425,True,0.000040845
5,2,0.000041034,True,0.000039958
5,2,0.000042526,True,0.000039918
5,2,0.000039524,True,0.000038706
5,2,0.000038090,True,0.000037827
5,2,0.000045820,True,0.000039783
5,2,0.000041687,True,0.000039275
5,2,0.000037759,True,0.000037274
5,2,0.000039170,True,0.000038761
5,2,0.000044833,True,0.000039383
5,2,0.000040226,True,0.000038818
5,2,0.000038342,True,0.000037856
5,2,0.000045984,True,0.000042796
5,2,0.000037341,True,0.000036905
5,2,0.000041016,True,0.000039504
5,2,0.000038086,True,0.000038011
5,2,0.000051434,True,0.000048100
5,2,0.000039956,True,0.000038852
5,2,0.000040891,True,0.000040691
5,2,0.000039364,True,0.000039286
5,2,0.000043912,True,0.000040867
5,2,0.000041444,True,0.000039770
5,2,0.000041681,True,0.000041585
5,2,0.000038962,True,0.000038823
5,2,0.000051902,True,0.000051255
5,2,0.000048055,True,0.000044089
5,2,0.000040041,True,0.000039015
5,2,0.000047305,True,0.000041558
5,2,0.000042059,True,0.000037833
5,2,0.000041572,True,0.000041139
5,2,0.000041112,True,0.000040588
5,2,0.000046157,True,0.000041446
5,2,0.000247896,True,0.000042564
5,2,0.000033037,True,0.000036914
5,2,0.000033183,True,0.000036672
5,2,0.000035982,True,0.000037964
5,2,0.000032986,True,0.000037121
5,2,0.000032709,True,0.000035982
5,2,0.000036304,True,0.000037285
5,2,0.000036998,True,0.000039631
5,2,0.000034322,True,0.000037451
5,2,0.000031904,True,0.000035828
5,2,0.000034197,True,0.000036946
5,2,0.000037399,True,0.000039009
5,2,0.000045955,True,0.000041034
5,2,0.000033498,True,0.000037739
5,2,0.000037238,True,0.000038764
5,2,0.000048372,True,0.000041150
5,2,0.000036686,True,0.000038221
5,2,0.000033398,True,0.000038188
5,2,0.000037506,True,0.000038869
5,2,0.000041753,True,0.000039740
5,2,0.000039934,True,0.000040692
5,2,0.000033749,True,0.000038546
5,2,0.000036052,True,0.000038476
5,2,0.000034734,True,0.000039914
5,2,0.000050554,True,0.000048749
5,2,0.000034639,True,0.000039521
5,2,0.000037478,True,0.000038576
5,2,0.000060393,True,0.000045671
5,2,0.000033360,True,0.000037985
5,2,0.000036100,True,0.000039150
5,2,0.000040202,True,0.000041335
5,2,0.000036257,True,0.000038377
5,2,0.000033389,True,0.000038227
5,2,0.000036069,True,0.000038840
5,2,0.000040251,True,0.000038609
5,2,0.000037086,True,0.000040138
5,2,0.000032996,True,0.000036981
5,2,0.000033554,True,0.000037650
5,2,0.000037179,True,0.000040149
5,2,0.000038548,True,0.000040704
5,2,0.000035953,True,0.000039908
5,2,0.000035383,True,0.000036859
5,2,0.000037511,True,0.000032757
5,2,0.000032187,True,0.000029353
5,2,0.000031607,True,0.000028308
5,2,0.000032671,True,0.000029941
5,2,0.000040173,True,0.000039304
5,2,0.000035678,True,0.000035528
5,2,0.000032028,True,0.000028383
5,2,0.000033645,True,0.000030307
5,2,0.000038165,True,0.000037237
5,2,0.000033016,True,0.000032232
5,2,0.000037281,True,0.000030900
5,2,0.000033314,True,0.000029898
5,2,0.000047712,True,0.000051104
5,2,0.000032056,True,0.000029599
5,2,0.000032724,True,0.000030564
5,2,0.000032932,True,0.000029365
5,2,0.000038358,True,0.000040769
5,2,0.000032765,True,0.000029683
5,2,0.000034720,True,0.000031746
5,2,0.000039697,True,0.000040853
5,2,0.000041241,True,0.000042124
5,2,0.000048679,True,0.000044847
5,2,0.000037209,True,0.000031821
5,2,0.000035148,True,0.000028628
5,2,0.000042775,True,0.000043897
5,2,0.000031629,True,0.000028909
5,2,0.000037193,True,0.000028737
5,2,0.000033564,True,0.000031301
5,2,0.000033968,True,0.000036487
5,2,0.000031941,True,0.000028385
5,2,0.000033982,True,0.000029899
5,2,0.000035738,True,0.000036700
5,2,0.000032241,True,0.000029703
5,2,0.000031614,True,0.000028518
5,2,0.000035856,True,0.000035593
5,2,0.000038441,True,0.000030214
5,2,0.000048847,True,0.000039353
5,2,0.000032227,True,0.000028873
5,2,0.000036209,True,0.000034190
5,2,0.000036322,True,0.000037686
5,2,0.000034155,True,0.000032961
5,3,0.000034111,True,0.000031177
5,3,0.000037652,True,0.000042040
5,3,0.000037315,True,0.000033737
5,3,0.000041449,True,0.000041549
5,3,0.000033924,True,0.000030470
5,3,0.000041012,True,0.000042105
5,3,0.000037900,True,0.000038557
5,3,0.000036905,True,0.000033163
5,3,0.000035442,True,0.000040394
5,3,0.000036832,True,0.000033910
5,3,0.000062189,True,0.000032034
5,3,0.000034010,True,0.000030463
5,3,0.000035380,True,0.000031997
5,3,0.000037096,True,0.000040586
5,3,0.000034259,True,0.000030908
5,3,0.000037883,True,0.000040544
5,3,0.000042431,True,0.000044650
5,3,0.000034500,True,0.000031673
5,3,0.000042185,True,0.000037250
5,3,0.000035037,True,0.000030829
5,3,0.000037788,True,0.000034088
5,3,0.000036705,True,0.000038998
5,3,0.000037041,True,0.000032720
5,3,0.000036385,True,0.000038923
5,3,0.000038626,True,0.000039459
5,3,0.000034791,True,0.000031259
5,3,0.000036374,True,0.000033183
5,3,0.000261983,True,0.000049530
5,3,0.000065038,True,0.000041193
5,3,0.000038843,True,0.000034446
5,3,0.000033441,True,0.000030933
5,3,0.000044903,True,0.000048146
5,3,0.000042838,True,0.000037272
5,3,0.000032269,True,0.000030987
5,3,0.000035187,True,0.000032645
5,3,0.000034457,True,0.000032373
5,3,0.000030408,True,0.000028893
5,3,0.000032286,True,0.000031067
5,3,0.000041539,True,0.000042002
5,3,0.000034926,True,0.000028645
5,3,0.000036430,True,0.000031549
5,3,0.000029865,True,0.000027949
5,3,0.000030159,True,0.000028141
5,3,0.000029913,True,0.000027563
5,3,0.000036748,True,0.000031255
5,3,0.000034157,True,0.000030072
5,3,0.000029848,True,0.000027830
5,3,0.000031008,True,0.000028309
5,3,0.000031107,True,0.000029403
5,3,0.000033786,True,0.000030639
5,3,0.000029666,True,0.000028273
5,3,0.000031979,True,0.000029644
5,3,0.000034248,True,0.000030421
5,3,0.000030416,True,0.000029079
5,3,0.000029302,True,0.000027873
5,3,0.000030995,True,0.000029582
5,3,0.000031738,True,0.000029915
5,3,0.000029493,True,0.000027618
5,3,0.000032011,True,0.000029559
5,3,0.000033898,True,0.000029372
5,3,0.000029689,True,0.000027884
5,3,0.000032824,True,0.000032896
5,3,0.000031152,True,0.000029254
5,3,0.000030510,True,0.000028395
5,3,0.000029112,True,0.000027391
5,3,0.000029722,True,0.000027760
5,3,0.000031271,True,0.000029526
5,3,0.000030633,True,0.000027996
5,3,0.000029459,True,0.000027856
5,3,0.000030827,True,0.000029608
5,3,0.000031146,True,0.000028229
5,3,0.000035613,True,0.000033299
5,3,0.000029460,True,0.000027709
5,3,0.000032149,True,0.000029345
5,3,0.000030368,True,0.000028137
5,3,0.000029813,True,0.000027896
5,3,0.000030638,True,0.000028141
5,3,0.000031663,True,0.000028955
5,3,0.000034572,True,0.000030879
5,3,0.000031121,True,0.000028203
5,3,0.000039886,True,0.000031025
5,3,0.000030480,True,0.000028766
5,3,0.000032680,True,0.000029047
5,3,0.000031853,True,0.000029482
5,3,0.000029862,True,0.000028159
5,3,0.000030328,True,0.000028764
5,3,0.000032327,True,0.000029043
5,3,0.000031327,True,0.000028837
5,3,0.000029845,True,0.000028379
5,3,0.000030747,True,0.000029249
5,3,0.000032870,True,0.000028842
5,3,0.000030446,True,0.000028611
5,3,0.000030345,True,0.000027610
5,3,0.000032317,True,0.000029963
5,3,0.000031046,True,0.000028266
5,3,0.000029552,True,0.000028097
5,3,0.000038117,True,0.000031767
5,3,0.000030830,True,0.000028593
5,3,0.000031588,True,0.000030849
5,3,0.000030225,True,0.000027877
5,3,0.000032316,True,0.000030602
5,3,0.000037419,True,0.000033736
5,3,0.000028879,True,0.000027343
5,3,0.000032045,True,0.000028912
5,3,0.000035491,True,0.000028531
5,3,0.000031203,True,0.000029052
5,3,0.000030327,True,0.000029455
5,3,0.000031785,True,0.000030490
5,3,0.000036157,True,0.000036220
5,3,0.000030140,True,0.000028260
5,3,0.000032601,True,0.000030696
5,3,0.000029599,True,0.000027741
5,3,0.000029499,True,0.000027399
5,3,0.000030543,True,0.000028556
5,3,0.000030608,True,0.000028148
5,3,0.000030506,True,0.000029029
5,3,0.000037045,True,0.000031433
5,3,0.000035783,True,0.000030230
5,3,0.000029532,True,0.000027631
5,3,0.000030370,True,0.000027599
5,3,0.000030775,True,0.000028301
5,3,0.000033944,True,0.000031796
5,3,0.000029074,True,0.000027204
5,3,0.000029764,True,0.000028078
5,3,0.000029888,True,0.000027958
5,3,0.000043349,True,0.000028163
5,3,0.000031327,True,0.000028407
5,3,0.000030540,True,0.000027584
5,3,0.000036251,True,0.000032026
5,3,0.000033830,True,0.000028417
5,3,0.000030129,True,0.000028430
5,3,0.000039573,True,0.000028060
5,3,0.000032308,True,0.000030364
5,3,0.000028896,True,0.000027253
5,3,0.000029096,True,0.000027291
5,3,0.000028369,True,0.000026841
5,3,0.000032260,True,0.000029341
5,3,0.000029575,True,0.000027997
5,3,0.000029936,True,0.000029903
5,3,0.000030546,True,0.000028474
5,3,0.000030620,True,0.000027855
5,3,0.000031319,True,0.000028859
5,3,0.000029419,True,0.000027564
5,3,0.000038174,True,0.000030641
5,3,0.000032562,True,0.000030876
5,3,0.000031079,True,0.000028980
5,3,0.000030587,True,0.000028398
5,3,0.000037661,True,0.000031696
5,3,0.000030486,True,0.000028491
5,3,0.000033287,True,0.000031595
5,3,0.000030456,True,0.000028644
5,3,0.000033303,True,0.000031525
5,3,0.000030065,True,0.000028378
5,3,0.000030490,True,0.000029373
5,3,0.000031649,True,0.000029475
5,3,0.000031111,True,0.000029390
5,3,0.000030473,True,0.000028551
5,3,0.000031648,True,0.000028936
5,3,0.000031319,True,0.000028141
5,3,0.000032600,True,0.000030823
5,3,0.000031666,True,0.000030046
5,3,0.000030951,True,0.000028514
5,3,0.000047636,True,0.000038779
5,3,0.000030433,True,0.000028550
5,3,0.000030508,True,0.000028276
5,3,0.000032192,True,0.000030618
5,3,0.000042408,True,0.000039358
5,3,0.000030426,True,0.000028085
5,3,0.000032598,True,0.000030577
5,3,0.000029847,True,0.000028075
5,3,0.000037852,True,0.000034475
5,3,0.000049920,True,0.000039957
5,3,0.000034973,True,0.000032199
5,3,0.000030619,True,0.000028988
5,3,0.000030379,True,0.000028524
5,3,0.000031085,True,0.000029675
5,3,0.000030842,True,0.000028921
5,3,0.000030297,True,0.000028200
5,3,0.000030500,True,0.000028065
5,3,0.000033531,True,0.000031370
5,3,0.000033131,True,0.000030491
5,3,0.000030537,True,0.000028480
5,3,0.000031494,True,0.000028392
5,3,0.000037637,True,0.000029999
5,3,0.000035600,True,0.000028886
5,3,0.000030752,True,0.000028727
5,3,0.000032140,True,0.000029457
5,3,0.000035299,True,0.000033207
5,3,0.000032069,True,0.000029165
5,3,0.000032579,True,0.000030682
5,3,0.000035346,True,0.000031618
5,3,0.000032328,True,0.000028189
5,3,0.000032773,True,0.000031670
5,3,0.000029100,True,0.000027327
5,3,0.000046978,True,0.000043464
5,3,0.000030023,True,0.000028423
5,3,0.000032895,True,0.000031473
5,3,0.000038399,True,0.000032983
5,3,0.000031315,True,0.000028891
5,3,0.000031957,True,0.000030038
5,3,0.000039502,True,0.000032534
5,3,0.000030826,True,0.000027646
5,3,0.000031573,True,0.000030917
5,3,0.000033669,True,0.000031450
5,3,0.000039230,True,0.000039048
5,3,0.000031132,True,0.000029417
5,3,0.000033262,True,0.000031160
5,3,0.000038159,True,0.000031687
5,3,0.000031020,True,0.000030202
