n,m,time(s),sat
5,0,0.000043805,True
5,1,0.000035288,True
5,1,0.000041789,True
5,1,0.000042699,True
5,1,0.000038406,True
5,1,0.000037971,True
5,1,0.000047394,True
5,1,0.000042279,True
5,1,0.000039553,True
5,1,0.000042084,True
5,1,0.000041482,True
5,1,0.000039616,True
5,1,0.000043391,True
5,1,0.000037441,True
5,1,0.000039176,True
5,1,0.000042786,True
5,1,0.000040874,True
5,1,0.000046372,True
5,1,0.000044436,True
5,1,0.000043235,True
5,1,0.000040913,True
5,2,0.000037808,True
5,2,0.000044008,True
5,2,0.000049259,True
5,2,0.000047563,True
5,2,0.000040566,True
5,2,0.000042736,True
5,2,0.000045506,True
5,2,0.000042961,True
5,2,0.000039970,True
5,2,0.000039101,True
5,2,0.000044154,True
5,2,0.000039692,True
5,2,0.000041477,True
5,2,0.000042186,True
5,2,0.000041315,True
5,2,0.000038333,True
5,2,0.000040539,True
5,2,0.000038591,True
5,2,0.000039764,True
5,2,0.000043092,True
5,2,0.000046916,True
5,2,0.000042451,True
5,2,0.000062358,True
5,2,0.000026732,True
5,2,0.000028868,True
5,2,0.000025985,True
5,2,0.000028378,True
5,2,0.000034809,True
5,2,0.000029033,True
5,2,0.000029478,True
5,2,0.000031008,True
5,2,0.000026181,True
5,2,0.000025235,True
5,2,0.000026461,True
5,2,0.000025709,True
5,2,0.000025385,True
5,2,0.000027929,True
5,2,0.000025095,True
5,2,0.000028233,True
5,2,0.000032894,True
5,2,0.000025952,True
5,2,0.000027426,True
5,2,0.000026551,True
5,2,0.000027315,True
5,2,0.000026914,True
5,2,0.000025155,True
5,2,0.000026270,True
5,2,0.000023270,True
5,2,0.000025534,True
5,2,0.000026075,True
5,2,0.000022642,True
5,2,0.000033474,True
5,2,0.000030460,True
5,2,0.000029648,True
5,2,0.000027155,True
5,2,0.000025631,True
5,2,0.000028156,True
5,2,0.000029890,True
5,2,0.000033780,True
5,2,0.000032125,True
5,2,0.000034762,True
5,2,0.000028844,True
5,2,0.000030188,True
5,2,0.000028235,True
5,2,0.000030043,True
5,2,0.000031104,True
5,2,0.000028034,True
5,2,0.000026758,True
5,2,0.000024965,True
5,2,0.000029603,True
5,2,0.000024861,True
5,2,0.000025781,True
5,2,0.000025793,True
5,2,0.000027439,True
5,2,0.000025045,True
5,2,0.000026868,True
5,2,0.000028960,True
5,2,0.000030336,True
5,2,0.000028263,True
5,2,0.000029576,True
5,2,0.000030017,True
5,2,0.000032195,True
5,2,0.000030508,True
5,2,0.000035032,True
5,2,0.000029090,True
5,2,0.000031048,True
5,2,0.000032105,True
5,2,0.000029017,True
5,2,0.000034516,True
5,2,0.000033973,True
5,2,0.000036288,True
5,2,0.000037417,True
5,2,0.000032230,True
5,2,0.000031167,True
5,2,0.000034070,True
5,2,0.000033146,True
5,2,0.000035243,True
5,2,0.000028713,True
5,2,0.000032640,True
5,2,0.000031115,True
5,2,0.000030899,True
5,2,0.000025902,True
5,2,0.000029815,True
5,2,0.000029853,True
5,2,0.000029027,True
5,2,0.000031592,True
5,2,0.000033339,True
5,2,0.000029880,True
5,2,0.000030088,True
5,2,0.000031474,True
5,2,0.000035375,True
5,2,0.000030878,True
5,2,0.000034197,True
5,2,0.000031048,True
5,2,0.000028828,True
5,2,0.000029170,True
5,2,0.000029524,True
5,2,0.000034390,True
5,2,0.000028483,True
5,2,0.000029632,True
5,2,0.000030086,True
5,2,0.000030842,True
5,2,0.000031625,True
5,2,0.000029019,True
5,2,0.000029242,True
5,2,0.000033048,True
5,2,0.000029772,True
5,2,0.000033100,True
5,2,0.000029409,True
5,2,0.000027453,True
5,2,0.000030648,True
5,2,0.000032103,True
5,2,0.000029945,True
5,2,0.000029801,True
5,2,0.000036072,True
5,2,0.000033269,True
5,2,0.000029156,True
5,2,0.000030493,True
5,2,0.000031501,True
5,2,0.000026810,True
5,2,0.000029096,True
5,2,0.000036129,True
5,2,0.000029908,True
5,2,0.000028384,True
5,2,0.000029076,True
5,2,0.000035076,True
5,2,0.000031824,True
5,2,0.000030650,True
5,2,0.000030108,True
5,2,0.000030247,True
5,2,0.000032180,True
5,2,0.000027631,True
5,2,0.000029327,True
5,2,0.000030968,True
5,2,0.000031283,True
5,2,0.000033156,True
5,2,0.000030455,True
5,2,0.000033377,True
5,2,0.000030582,True
5,2,0.000025786,True
5,2,0.000030272,True
5,2,0.000026077,True
5,2,0.000030732,True
5,2,0.000031599,True
5,2,0.000031399,True
5,2,0.000029077,True
5,2,0.000033390,True
5,2,0.000029563,True
5,2,0.000031755,True
5,2,0.000030479,True
5,2,0.000027785,True
5,2,0.000029387,True
5,2,0.000028492,True
5,2,0.000029311,True
5,2,0.000032316,True
5,2,0.000028306,True
5,2,0.000030534,True
5,2,0.000030171,True
5,2,0.000029280,True
5,2,0.000026200,True
5,3,0.000031532,True
5,3,0.000028993,True
5,3,0.000029652,True
5,3,0.000031463,True
5,3,0.000030008,True
5,3,0.000028950,True
5,3,0.000566701,True
5,3,0.000036802,True
5,3,0.000028549,True
5,3,0.000032365,True
5,3,0.000028590,True
5,3,0.000030857,True
5,3,0.000028389,True
5,3,0.000030160,True
5,3,0.000028674,True
5,3,0.000031763,True
5,3,0.000027425,True
5,3,0.000026417,True
5,3,0.000026439,True
5,3,0.000024532,True
5,3,0.000026174,True
5,3,0.000025262,True
5,3,0.000027481,True
5,3,0.000027471,True
5,3,0.000024239,True
5,3,0.000032907,True
5,3,0.000025976,True
5,3,0.000029920,True
5,3,0.000027219,True
5,3,0.000028869,True
5,3,0.000026434,True
5,3,0.000027783,True
5,3,0.000024966,True
5,3,0.000026571,True
5,3,0.000027481,True
5,3,0.000027551,True
5,3,0.000030078,True
5,3,0.000027064,True
5,3,0.000029749,True
5,3,0.000032750,True
5,3,0.000031973,True
5,3,0.000041880,True
5,3,0.000030854,True
5,3,0.000030526,True
5,3,0.000031309,True
5,3,0.000029496,True
5,3,0.000029184,True
5,3,0.000033955,True
5,3,0.000030930,True
5,3,0.000030144,True
5,3,0.000029382,True
5,3,0.000031773,True
5,3,0.000029920,True
5,3,0.000029765,True
5,3,0.000031510,True
5,3,0.000027854,True
5,3,0.000030695,True
5,3,0.000030602,True
5,3,0.000031214,True
5,3,0.000027498,True
5,3,0.000032390,True
5,3,0.000036510,True
5,3,0.000028681,True
5,3,0.000030952,True
5,3,0.000029623,True
5,3,0.000029772,True
5,3,0.000031824,True
5,3,0.000028276,True
5,3,0.000028462,True
5,3,0.000031958,True
5,3,0.000033463,True
5,3,0.000027860,True
5,3,0.000031418,True
5,3,0.000026167,True
5,3,0.000030427,True
5,3,0.000027070,True
5,3,0.000030594,True
5,3,0.000025217,True
5,3,0.000027836,True
5,3,0.000026282,True
5,3,0.000026018,True
5,3,0.000025619,True
5,3,0.000028943,True
5,3,0.000028711,True
5,3,0.000027256,True
5,3,0.000026002,True
5,3,0.000027100,True
5,3,0.000028234,True
5,3,0.000029872,True
5,3,0.000026664,True
5,3,0.000025606,True
5,3,0.000028102,True
5,3,0.000023389,True
5,3,0.000026941,True
5,3,0.000026924,True
5,3,0.000025939,True
5,3,0.000023300,True
5,3,0.000026106,True
5,3,0.000030243,True
5,3,0.000027567,True
5,3,0.000028842,True
5,3,0.000029722,True
5,3,0.000026252,True
5,3,0.000029392,True
5,3,0.000026445,True
5,3,0.000029802,True
5,3,0.000032571,True
5,3,0.000033201,True
5,3,0.000030553,True
5,3,0.000033321,True
5,3,0.000035099,True
5,3,0.000029941,True
5,3,0.000027728,True
5,3,0.000031301,True
5,3,0.000027736,True
5,3,0.000028820,True
5,3,0.000031709,True
5,3,0.000029206,True
5,3,0.000029564,True
5,3,0.000037752,True
5,3,0.000034325,True
5,3,0.000029767,True
5,3,0.000028262,True
5,3,0.000033150,True
5,3,0.000032639,True
5,3,0.000030294,True
5,3,0.000030865,True
5,3,0.000032059,True
5,3,0.000034731,True
5,3,0.000034702,True
5,3,0.000028102,True
5,3,0.000030779,True
5,3,0.000026949,True
5,3,0.000026933,True
5,3,0.000030782,True
5,3,0.000024684,True
5,3,0.000029051,True
5,3,0.000025977,True
5,3,0.000028395,True
5,3,0.000027184,True
5,3,0.000025819,True
5,3,0.000024980,True
5,3,0.000025323,True
5,3,0.000026502,True
5,3,0.000026930,True
5,3,0.000027966,True
5,3,0.000026234,True
5,3,0.000025737,True
5,3,0.000024764,True
5,3,0.000027585,True
5,3,0.000025044,True
5,3,0.000024877,True
5,3,0.000025487,True
5,3,0.000027697,True
5,3,0.000026646,True
5,3,0.000026776,True
5,3,0.000024700,True
5,3,0.000029240,True
5,3,0.000025972,True
5,3,0.000028137,True
5,3,0.000026539,True
5,3,0.000025595,True
5,3,0.000028611,True
5,3,0.000028607,True
5,3,0.000310485,True
5,3,0.000028758,True
5,3,0.000028417,True
5,3,0.000028986,True
5,3,0.000025269,True
5,3,0.000032262,True
5,3,0.000027747,True
5,3,0.000026371,True
5,3,0.000026933,True
5,3,0.000028354,True
5,3,0.000024691,True
5,3,0.000027411,True
5,3,0.000024692,True
5,3,0.000026465,True
5,3,0.000033778,True
5,3,0.000031207,True
5,3,0.000030803,True
5,3,0.000029915,True
5,3,0.000031869,True
5,3,0.000034378,True
5,3,0.000029436,True
5,3,0.000028272,True
5,3,0.000024706,True
5,3,0.000029231,True
5,3,0.000029059,True
5,3,0.000029318,True
5,3,0.000028900,True
5,3,0.000029101,True
5,3,0.000027624,True
5,3,0.000024474,True
5,3,0.000031738,True
5,3,0.000029379,True
5,3,0.000028585,True
5,3,0.000030344,True
5,3,0.000028681,True
5,3,0.000029924,True
5,3,0.000026646,True
5,3,0.000027897,True
5,3,0.000025842,True
5,3,0.000032052,True
5,3,0.000030442,True
5,3,0.000027868,True
5,3,0.000026458,True
5,3,0.000028917,True
5,3,0.000028585,True
5,3,0.000027863,True
5,3,0.000029705,True
5,3,0.000030354,True
5,3,0.000027411,True
5,3,0.000029702,True
5,3,0.000025613,True
5,3,0.000029638,True
5,3,0.000028418,True
5,3,0.000024254,True
5,3,0.000031548,True
5,3,0.000028151,True
5,3,0.000029537,True
5,3,0.000027646,True
5,3,0.000027027,True
5,3,0.000026242,True
5,3,0.000025142,True
5,3,0.000025635,True
5,3,0.000023994,True
5,3,0.000025577,True
5,3,0.000025237,True
5,3,0.000025115,True
5,3,0.000028217,True
5,3,0.000026219,True
5,3,0.000024552,True
5,3,0.000026591,True
5,3,0.000025783,True
5,3,0.000026326,True
5,3,0.000027396,True
5,3,0.000025441,True
5,3,0.000026418,True
5,3,0.000027279,True
5,3,0.000025678,True
5,3,0.000025091,True
5,3,0.000023351,True
5,3,0.000027456,True
5,3,0.000024864,True
5,3,0.000026912,True
5,3,0.000025992,True
5,3,0.000027381,True
5,3,0.000027427,True
5,3,0.000026646,True
5,3,0.000027449,True
5,3,0.000026595,True
5,3,0.000024113,True
5,3,0.000028074,True
5,3,0.000025542,True
5,3,0.000025747,True
5,3,0.000023040,True
5,3,0.000027453,True
5,3,0.000025036,True
5,3,0.000025451,True
