n,m,time(s),sat
5,0,0.000042297,True
5,1,0.000038890,True
5,1,0.000044611,True
5,1,0.000040954,True
5,1,0.000041784,True
5,1,0.000040112,True
5,1,0.000042837,True
5,1,0.000051523,True
5,1,0.000044631,True
5,1,0.000044327,True
5,1,0.000038529,True
5,1,0.000045788,True
5,1,0.000044058,True
5,1,0.000051696,True
5,1,0.000037608,True
5,1,0.000045118,True
5,1,0.000044387,True
5,1,0.000046038,True
5,1,0.000054135,True
5,1,0.000050979,True
5,1,0.000042579,True
5,2,0.000047967,True
5,2,0.000152549,True
5,2,0.000036952,True
5,2,0.000039626,True
5,2,0.000035513,True
5,2,0.000040259,True
5,2,0.000038502,True
5,2,0.000039512,True
5,2,0.000042473,True
5,2,0.000038059,True
5,2,0.000041664,True
5,2,0.000033295,True
5,2,0.000040278,True
5,2,0.000038213,True
5,2,0.000036430,True
5,2,0.000033607,True
5,2,0.000044596,True
5,2,0.000035400,True
5,2,0.000035760,True
5,2,0.000036812,True
5,2,0.000060244,True
5,2,0.000025554,True
5,2,0.000023461,True
5,2,0.000024973,True
5,2,0.000023409,True
5,2,0.000024458,True
5,2,0.000023054,True
5,2,0.000023554,True
5,2,0.000030477,True
5,2,0.000027540,True
5,2,0.000027378,True
5,2,0.000026615,True
5,2,0.000030831,True
5,2,0.000028383,True
5,2,0.000026915,True
5,2,0.000028398,True
5,2,0.000024705,True
5,2,0.000026151,True
5,2,0.000026989,True
5,2,0.000025110,True
5,2,0.000031306,True
5,2,0.000026474,True
5,2,0.000026044,True
5,2,0.000028434,True
5,2,0.000024763,True
5,2,0.000030085,True
5,2,0.000024181,True
5,2,0.000024317,True
5,2,0.000025886,True
5,2,0.000026417,True
5,2,0.000023180,True
5,2,0.000028397,True
5,2,0.000024451,True
5,2,0.000026595,True
5,2,0.000027025,True
5,2,0.000026947,True
5,2,0.000029152,True
5,2,0.000029307,True
5,2,0.000029927,True
5,2,0.000026374,True
5,2,0.000026116,True
5,2,0.000027339,True
5,2,0.000023848,True
5,2,0.000027696,True
5,2,0.000027949,True
5,2,0.000025523,True
5,2,0.000029246,True
5,2,0.000025169,True
5,2,0.000029117,True
5,2,0.000025416,True
5,2,0.000026887,True
5,2,0.000027834,True
5,2,0.000026141,True
5,2,0.000029385,True
5,2,0.000026913,True
5,2,0.000024058,True
5,2,0.000024069,True
5,2,0.000027775,True
5,2,0.000025284,True
5,2,0.000028624,True
5,2,0.000025255,True
5,2,0.000026941,True
5,2,0.000025892,True
5,2,0.000031225,True
5,2,0.000024508,True
5,2,0.000025209,True
5,2,0.000026636,True
5,2,0.000027465,True
5,2,0.000024226,True
5,2,0.000025874,True
5,2,0.000030138,True
