n,m,time(s),sat
5,0,0.000021695,True
5,1,0.000021179,True
5,1,0.000216907,True
5,1,0.000021484,True
5,1,0.000019169,True
5,1,0.000019911,True
5,1,0.000019099,True
5,1,0.000019394,True
5,1,0.000019425,True
5,1,0.000019898,True
5,1,0.000019049,True
5,1,0.000019798,True
5,1,0.000020078,True
5,1,0.000022964,True
5,1,0.000018599,True
5,1,0.000018345,True
5,1,0.000016975,True
5,1,0.000018810,True
5,1,0.000018337,True
5,1,0.000017936,True
5,1,0.000021868,True
5,2,0.000027826,True
5,2,0.000021038,True
5,2,0.000021536,True
5,2,0.000020367,True
5,2,0.000023375,True
5,2,0.000022141,True
5,2,0.000020180,True
5,2,0.000018994,True
5,2,0.000021896,True
5,2,0.000021771,True
5,2,0.000019038,True
5,2,0.000024303,True
5,2,0.000023547,True
5,2,0.000027824,True
5,2,0.000020945,True
5,2,0.000027131,True
5,2,0.000023164,True
5,2,0.000028983,True
5,2,0.000023879,True
5,2,0.000026245,True
5,2,0.000056346,True
5,2,0.000010073,True
5,2,0.000011867,True
5,2,0.000010265,True
5,2,0.000010270,True
5,2,0.000011477,True
5,2,0.000011242,True
5,2,0.000013384,True
5,2,0.000012476,True
5,2,0.000011744,True
5,2,0.000010600,True
5,2,0.000011497,True
5,2,0.000012094,True
5,2,0.000011792,True
5,2,0.000011092,True
5,2,0.000011471,True
5,2,0.000014709,True
5,2,0.000011956,True
5,2,0.000011747,True
5,2,0.000012636,True
5,2,0.000012727,True
5,2,0.000011197,True
5,2,0.000012616,True
5,2,0.000016166,True
5,2,0.000011620,True
5,2,0.000012553,True
5,2,0.000013299,True
5,2,0.000011890,True
5,2,0.000011913,True
5,2,0.000011181,True
5,2,0.000011340,True
5,2,0.000012205,True
5,2,0.000012067,True
5,2,0.000012525,True
5,2,0.000012315,True
5,2,0.000011494,True
5,2,0.000011932,True
5,2,0.000013129,True
5,2,0.000013080,True
5,2,0.000012168,True
5,2,0.000012433,True
5,2,0.000014475,True
5,2,0.000011579,True
5,2,0.000012408,True
5,2,0.000014061,True
5,2,0.000012059,True
5,2,0.000011070,True
5,2,0.000012745,True
5,2,0.000013312,True
5,2,0.000013204,True
5,2,0.000011404,True
5,2,0.000018949,True
5,2,0.000014354,True
5,2,0.000013161,True
5,2,0.000012115,True
5,2,0.000011715,True
5,2,0.000014267,True
5,2,0.000013830,True
5,2,0.000010803,True
5,2,0.000011376,True
5,2,0.000011992,True
5,2,0.000011322,True
5,2,0.000011998,True
5,2,0.000012614,True
5,2,0.000010799,True
5,2,0.000012050,True
5,2,0.000012663,True
5,2,0.000012435,True
5,2,0.000010821,True
5,2,0.000012536,True
5,2,0.000012461,True
5,2,0.000012573,True
5,2,0.000010925,True
5,2,0.000012086,True
5,2,0.000011649,True
5,2,0.000011350,True
5,2,0.000012855,True
5,2,0.000011380,True
5,2,0.000012759,True
5,2,0.000011415,True
5,2,0.000011696,True
5,2,0.000009816,True
5,2,0.000011984,True
5,2,0.000011213,True
5,2,0.000013127,True
5,2,0.000010470,True
5,2,0.000010689,True
5,2,0.000011894,True
5,2,0.000014408,True
5,2,0.000014704,True
5,2,0.000013419,True
5,2,0.000014351,True
5,2,0.000013980,True
5,2,0.000014123,True
5,2,0.000016517,True
5,2,0.000013458,True
5,2,0.000010940,True
5,2,0.000010836,True
5,2,0.000013087,True
5,2,0.000011090,True
5,2,0.000011407,True
5,2,0.000012654,True
5,2,0.000010816,True
5,2,0.000011985,True
5,2,0.000010773,True
5,2,0.000015286,True
5,2,0.000011041,True
5,2,0.000011064,True
5,2,0.000012861,True
5,2,0.000010539,True
5,2,0.000010546,True
5,2,0.000011467,True
5,2,0.000011250,True
5,2,0.000011862,True
5,2,0.000011676,True
5,2,0.000011766,True
5,2,0.000011180,True
5,2,0.000011459,True
5,2,0.000010980,True
5,2,0.000011477,True
5,2,0.000012103,True
5,2,0.000010084,True
