name,time_seconds,result
gl_grafo1000.14.gml.cnf,0,SAT
gl_grafo1001.12.gml.cnf,0,SAT
gl_grafo1002.20.gml.cnf,1.0,SAT
gl_grafo1003.11.gml.cnf,1.0,SAT
gl_grafo1004.11.gml.cnf,0,SAT
gl_grafo1005.11.gml.cnf,0,SAT
gl_grafo1006.11.gml.cnf,0,SAT
gl_grafo1007.20.gml.cnf,1.0,SAT
gl_grafo1008.12.gml.cnf,1.0,SAT
gl_grafo1009.17.gml.cnf,0,SAT
gl_grafo1010.10.gml.cnf,0,SAT
gl_grafo1011.19.gml.cnf,1.0,SAT
gl_grafo1013.15.gml.cnf,0,SAT
gl_grafo1014.14.gml.cnf,0,SAT
gl_grafo1015.16.gml.cnf,1.0,SAT
gl_grafo1016.18.gml.cnf,1.0,SAT
gl_grafo1017.15.gml.cnf,0,SAT
gl_grafo1019.11.gml.cnf,0,SAT
gl_grafo1020.12.gml.cnf,0,SAT
gl_grafo1021.14.gml.cnf,0,SAT
gl_grafo1022.17.gml.cnf,1.0,SAT
gl_grafo1023.11.gml.cnf,0,SAT
gl_grafo1024.20.gml.cnf,1.0,SAT
gl_grafo1025.15.gml.cnf,1.0,SAT
gl_grafo1027.11.gml.cnf,0,SAT
gl_grafo1028.16.gml.cnf,0,SAT
gl_grafo1029.16.gml.cnf,0,SAT
gl_grafo1030.15.gml.cnf,1.0,SAT
gl_grafo1031.16.gml.cnf,0,SAT
gl_grafo1032.10.gml.cnf,0,SAT
gl_grafo1036.20.gml.cnf,1.0,SAT
gl_grafo1039.14.gml.cnf,0,SAT
gl_grafo1042.14.gml.cnf,1.0,SAT
gl_grafo1043.15.gml.cnf,0,SAT
gl_grafo1046.17.gml.cnf,0,SAT
gl_grafo1047.16.gml.cnf,1.0,SAT
gl_grafo1048.18.gml.cnf,0,SAT
gl_grafo1050.18.gml.cnf,1.0,SAT
gl_grafo1054.11.gml.cnf,0,SAT
gl_grafo1055.19.gml.cnf,0,SAT
gl_grafo1056.17.gml.cnf,1.0,SAT
gl_grafo1057.16.gml.cnf,1.0,SAT
gl_grafo1058.14.gml.cnf,0,SAT
gl_grafo1059.18.gml.cnf,1.0,SAT
gl_grafo1060.11.gml.cnf,0,SAT
gl_grafo1061.11.gml.cnf,0,SAT
gl_grafo1062.15.gml.cnf,1.0,SAT
gl_grafo1063.14.gml.cnf,0,SAT
gl_grafo1065.14.gml.cnf,0,SAT
gl_grafo1066.11.gml.cnf,0,SAT
gl_grafo1067.13.gml.cnf,0,SAT
gl_grafo1068.12.gml.cnf,0,SAT
gl_grafo1069.16.gml.cnf,1.0,SAT
gl_grafo1070.10.gml.cnf,0,SAT
gl_grafo1071.10.gml.cnf,0,SAT
gl_grafo1072.14.gml.cnf,0,SAT
gl_grafo1074.14.gml.cnf,1.0,SAT
gl_grafo1076.18.gml.cnf,0,SAT
gl_grafo1077.11.gml.cnf,0,SAT
gl_grafo1078.11.gml.cnf,0,SAT
gl_grafo1079.19.gml.cnf,2.0,SAT
gl_grafo1080.16.gml.cnf,0,SAT
gl_grafo1081.15.gml.cnf,0,SAT
gl_grafo1083.14.gml.cnf,0,SAT
gl_grafo1084.11.gml.cnf,0,SAT
gl_grafo1085.17.gml.cnf,0,SAT
gl_grafo1086.18.gml.cnf,1.0,SAT
gl_grafo1087.14.gml.cnf,0,SAT
gl_grafo1088.11.gml.cnf,0,SAT
gl_grafo1093.15.gml.cnf,0,SAT
gl_grafo1094.17.gml.cnf,0,SAT
gl_grafo1095.11.gml.cnf,1.0,SAT
gl_grafo1097.16.gml.cnf,0,SAT
gl_grafo1098.10.gml.cnf,0,SAT
gl_grafo1099.11.gml.cnf,0,SAT
gl_grafo1100.11.gml.cnf,0,SAT
gl_grafo1105.19.gml.cnf,1.0,SAT
gl_grafo1107.15.gml.cnf,0,SAT
gl_grafo1108.18.gml.cnf,2.0,SAT
