n,vars,clauses
2, 10, 36
3, 48, 692
4, 144, 4280
5, 340, 16584
6, 690, 49388
7, 1260, 123716
8, 2128, 273792
9, 3384, 551720
10, 5130, 1032884
11, 7480, 1822068
12, 10560, 3060296
13, 14508, 4932392
14, 19474, 7675260
15, 25620, 11586884
16, 33120, 17036048
17, 42160, 24472776
18, 52938, 34439492
19, 65664, 47582900
20, 80560, 64666584
21, 97860, 86584329
22, 117810, 114374157
23, 140668, 149233093
24, 166704, 192532641
25, 196200, 245834985
26, 229450, 310909909
27, 266760, 389752437
28, 308448, 484601193
